,title,pct_n_affected,total_cost
72,"(0, 0, 0, 0, 0, 2, 2, 0, 0)",19.8886237072,921585.433333
73,"(0, 0, 0, 0, 0, 2, 2, 0, 1)",19.2787059136,930775.566667
74,"(0, 0, 0, 0, 0, 2, 2, 0, 2)",19.0798196765,948077.2
75,"(0, 0, 0, 0, 0, 2, 2, 1, 0)",17.8599840891,912171.6
76,"(0, 0, 0, 0, 0, 2, 2, 1, 1)",17.2500662954,921361.733333
77,"(0, 0, 0, 0, 0, 2, 2, 1, 2)",17.0511800583,938663.366667
78,"(0, 0, 0, 0, 0, 2, 2, 2, 0)",17.4489525325,941109.766667
79,"(0, 0, 0, 0, 0, 2, 2, 2, 1)",16.8390347388,950299.9
80,"(0, 0, 0, 0, 0, 2, 2, 2, 2)",16.6401485017,967601.533333
81,"(0, 0, 0, 0, 1, 0, 0, 0, 0)",22.6199946964,1056967.73333
82,"(0, 0, 0, 0, 1, 0, 0, 0, 1)",22.0100769027,1066157.86667
83,"(0, 0, 0, 0, 1, 0, 0, 0, 2)",21.8111906656,1083459.5
84,"(0, 0, 0, 0, 1, 0, 0, 1, 0)",20.5913550782,1047553.9
85,"(0, 0, 0, 0, 1, 0, 0, 1, 1)",19.9814372845,1056744.03333
86,"(0, 0, 0, 0, 1, 0, 0, 1, 2)",19.7825510475,1074045.66667
87,"(0, 0, 0, 0, 1, 0, 0, 2, 0)",20.1803235216,1076492.06667
88,"(0, 0, 0, 0, 1, 0, 0, 2, 1)",19.5704057279,1085682.2
89,"(0, 0, 0, 0, 1, 0, 0, 2, 2)",19.3715194909,1102983.83333
90,"(0, 0, 0, 0, 1, 0, 1, 0, 0)",21.1614956245,1042103.53333
91,"(0, 0, 0, 0, 1, 0, 1, 0, 1)",20.5515778308,1051293.66667
92,"(0, 0, 0, 0, 1, 0, 1, 0, 2)",20.3526915937,1068595.3
93,"(0, 0, 0, 0, 1, 0, 1, 1, 0)",19.1328560064,1032689.7
94,"(0, 0, 0, 0, 1, 0, 1, 1, 1)",18.5229382127,1041879.83333
95,"(0, 0, 0, 0, 1, 0, 1, 1, 2)",18.3240519756,1059181.46667
96,"(0, 0, 0, 0, 1, 0, 1, 2, 0)",18.7218244497,1061627.86667
97,"(0, 0, 0, 0, 1, 0, 1, 2, 1)",18.1119066561,1070818.0
98,"(0, 0, 0, 0, 1, 0, 1, 2, 2)",17.913020419,1088119.63333
99,"(0, 0, 0, 0, 1, 0, 2, 0, 0)",19.8886237072,1043490.0
100,"(0, 0, 0, 0, 1, 0, 2, 0, 1)",19.2787059136,1052680.13333
101,"(0, 0, 0, 0, 1, 0, 2, 0, 2)",19.0798196765,1069981.76667
102,"(0, 0, 0, 0, 1, 0, 2, 1, 0)",17.8599840891,1034076.16667
103,"(0, 0, 0, 0, 1, 0, 2, 1, 1)",17.2500662954,1043266.3
104,"(0, 0, 0, 0, 1, 0, 2, 1, 2)",17.0511800583,1060567.93333
105,"(0, 0, 0, 0, 1, 0, 2, 2, 0)",17.4489525325,1063014.33333
106,"(0, 0, 0, 0, 1, 0, 2, 2, 1)",16.8390347388,1072204.46667
107,"(0, 0, 0, 0, 1, 0, 2, 2, 2)",16.6401485017,1089506.1
108,"(0, 0, 0, 0, 1, 1, 0, 0, 0)",22.6199946964,1080743.66667
109,"(0, 0, 0, 0, 1, 1, 0, 0, 1)",22.0100769027,1089933.8
110,"(0, 0, 0, 0, 1, 1, 0, 0, 2)",21.8111906656,1107235.43333
111,"(0, 0, 0, 0, 1, 1, 0, 1, 0)",20.5913550782,1071329.83333
112,"(0, 0, 0, 0, 1, 1, 0, 1, 1)",19.9814372845,1080519.96667
113,"(0, 0, 0, 0, 1, 1, 0, 1, 2)",19.7825510475,1097821.6
114,"(0, 0, 0, 0, 1, 1, 0, 2, 0)",20.1803235216,1100268.0
115,"(0, 0, 0, 0, 1, 1, 0, 2, 1)",19.5704057279,1109458.13333
116,"(0, 0, 0, 0, 1, 1, 0, 2, 2)",19.3715194909,1126759.76667
117,"(0, 0, 0, 0, 1, 1, 1, 0, 0)",21.1614956245,1065879.46667
118,"(0, 0, 0, 0, 1, 1, 1, 0, 1)",20.5515778308,1075069.6
119,"(0, 0, 0, 0, 1, 1, 1, 0, 2)",20.3526915937,1092371.23333
120,"(0, 0, 0, 0, 1, 1, 1, 1, 0)",19.1328560064,1056465.63333
121,"(0, 0, 0, 0, 1, 1, 1, 1, 1)",18.5229382127,1065655.76667
122,"(0, 0, 0, 0, 1, 1, 1, 1, 2)",18.3240519756,1082957.4
123,"(0, 0, 0, 0, 1, 1, 1, 2, 0)",18.7218244497,1085403.8
124,"(0, 0, 0, 0, 1, 1, 1, 2, 1)",18.1119066561,1094593.93333
125,"(0, 0, 0, 0, 1, 1, 1, 2, 2)",17.913020419,1111895.56667
126,"(0, 0, 0, 0, 1, 1, 2, 0, 0)",19.8886237072,1067265.93333
